n,x,x
0,-1,-1
1,-0.9921875,-0.9921875
2,-0.984375,-0.984375
3,-0.9765625,-0.9765625
4,-0.96875,-0.96875
5,-0.9609375,-0.9609375
6,-0.953125,-0.953125
7,-0.9453125,-0.9453125
8,-0.9375,-0.9375
9,-0.9296875,-0.9296875
10,-0.921875,-0.921875
11,-0.9140625,-0.9140625
12,-0.90625,-0.90625
13,-0.8984375,-0.8984375
14,-0.890625,-0.890625
15,-0.8828125,-0.8828125
16,-0.875,-0.875
17,-0.8671875,-0.8671875
18,-0.859375,-0.859375
19,-0.8515625,-0.8515625
20,-0.84375,-0.84375
21,-0.8359375,-0.8359375
22,-0.828125,-0.828125
23,-0.8203125,-0.8203125
24,-0.8125,-0.8125
25,-0.8046875,-0.8046875
26,-0.796875,-0.796875
27,-0.7890625,-0.7890625
28,-0.78125,-0.78125
29,-0.7734375,-0.7734375
30,-0.765625,-0.765625
31,-0.7578125,-0.7578125
32,-0.75,-0.75
33,-0.7421875,-0.7421875
34,-0.734375,-0.734375
35,-0.7265625,-0.7265625
36,-0.71875,-0.71875
37,-0.7109375,-0.7109375
38,-0.703125,-0.703125
39,-0.6953125,-0.6953125
40,-0.6875,-0.6875
41,-0.6796875,-0.6796875
42,-0.671875,-0.671875
43,-0.6640625,-0.6640625
44,-0.65625,-0.65625
45,-0.6484375,-0.6484375
46,-0.640625,-0.640625
47,-0.6328125,-0.6328125
48,-0.625,-0.625
49,-0.6171875,-0.6171875
50,-0.609375,-0.609375
51,-0.6015625,-0.6015625
52,-0.59375,-0.59375
53,-0.5859375,-0.5859375
54,-0.578125,-0.578125
55,-0.5703125,-0.5703125
56,-0.5625,-0.5625
57,-0.5546875,-0.5546875
58,-0.546875,-0.546875
59,-0.5390625,-0.5390625
60,-0.53125,-0.53125
61,-0.5234375,-0.5234375
62,-0.515625,-0.515625
63,-0.5078125,-0.5078125
64,-0.5,-0.5
65,-0.4921875,-0.4921875
66,-0.484375,-0.484375
