n,x,sin(x)
0,-1,-1
1,-0.9921875,-0.9999247018
2,-0.984375,-0.9996988187
3,-0.9765625,-0.9993223846
4,-0.96875,-0.9987954562
5,-0.9609375,-0.9981181129
6,-0.953125,-0.9972904567
7,-0.9453125,-0.9963126122
8,-0.9375,-0.9951847267
9,-0.9296875,-0.99390697
10,-0.921875,-0.9924795346
11,-0.9140625,-0.9909026354
12,-0.90625,-0.98917651
13,-0.8984375,-0.9873014182
14,-0.890625,-0.9852776424
15,-0.8828125,-0.9831054874
16,-0.875,-0.9807852804
17,-0.8671875,-0.9783173707
18,-0.859375,-0.97570213
19,-0.8515625,-0.9729399522
20,-0.84375,-0.9700312532
21,-0.8359375,-0.966976471
22,-0.828125,-0.9637760658
23,-0.8203125,-0.9604305194
24,-0.8125,-0.9569403357
25,-0.8046875,-0.9533060404
26,-0.796875,-0.9495281806
27,-0.7890625,-0.9456073254
28,-0.78125,-0.9415440652
29,-0.7734375,-0.9373390119
30,-0.765625,-0.9329927988
31,-0.7578125,-0.9285060805
32,-0.75,-0.9238795325
33,-0.7421875,-0.9191138517
34,-0.734375,-0.9142097557
35,-0.7265625,-0.9091679831
36,-0.71875,-0.9039892931
37,-0.7109375,-0.8986744657
38,-0.703125,-0.8932243012
39,-0.6953125,-0.8876396204
40,-0.6875,-0.8819212643
41,-0.6796875,-0.8760700942
42,-0.671875,-0.8700869911
43,-0.6640625,-0.8639728561
44,-0.65625,-0.85772861
45,-0.6484375,-0.8513551931
46,-0.640625,-0.8448535652
47,-0.6328125,-0.8382247056
48,-0.625,-0.8314696123
49,-0.6171875,-0.8245893028
50,-0.609375,-0.8175848132
51,-0.6015625,-0.8104571983
52,-0.59375,-0.8032075315
53,-0.5859375,-0.7958369046
54,-0.578125,-0.7883464276
55,-0.5703125,-0.7807372286
56,-0.5625,-0.7730104534
57,-0.5546875,-0.7651672656
58,-0.546875,-0.7572088465
59,-0.5390625,-0.7491363945
60,-0.53125,-0.7409511254
61,-0.5234375,-0.7326542717
62,-0.515625,-0.724247083
63,-0.5078125,-0.7157308253
64,-0.5,-0.7071067812
65,-0.4921875,-0.6983762494
66,-0.484375,-0.6895405447
67,-0.4765625,-0.6806009978
68,-0.46875,-0.6715589548
69,-0.4609375,-0.6624157776
70,-0.453125,-0.653172843
71,-0.4453125,-0.6438315429
72,-0.4375,-0.6343932842
73,-0.4296875,-0.6248594881
74,-0.421875,-0.6152315906
75,-0.4140625,-0.6055110414
76,-0.40625,-0.5956993045
77,-0.3984375,-0.5857978575
78,-0.390625,-0.5758081914
79,-0.3828125,-0.5657318108
80,-0.375,-0.555570233
81,-0.3671875,-0.5453249884
82,-0.359375,-0.5349976199
83,-0.3515625,-0.5245896827
84,-0.34375,-0.5141027442
85,-0.3359375,-0.5035383837
86,-0.328125,-0.4928981922
87,-0.3203125,-0.4821837721
88,-0.3125,-0.4713967368
89,-0.3046875,-0.460538711
90,-0.296875,-0.4496113297
91,-0.2890625,-0.4386162385
92,-0.28125,-0.4275550934
93,-0.2734375,-0.4164295601
94,-0.265625,-0.405241314
95,-0.2578125,-0.3939920401
96,-0.25,-0.3826834324
97,-0.2421875,-0.371317194
98,-0.234375,-0.3598950365
99,-0.2265625,-0.3484186802
100,-0.21875,-0.3368898534
101,-0.2109375,-0.3253102922
102,-0.203125,-0.3136817404
103,-0.1953125,-0.3020059493
104,-0.1875,-0.2902846773
105,-0.1796875,-0.2785196894
106,-0.171875,-0.2667127575
107,-0.1640625,-0.2548656596
108,-0.15625,-0.2429801799
109,-0.1484375,-0.2310581083
110,-0.140625,-0.2191012402
111,-0.1328125,-0.2071113762
112,-0.125,-0.195090322
113,-0.1171875,-0.183039888
114,-0.109375,-0.1709618888
115,-0.1015625,-0.1588581433
116,-0.09375,-0.1467304745
117,-0.0859375,-0.1345807085
118,-0.078125,-0.1224106752
119,-0.0703125,-0.1102222073
120,-0.0625,-0.09801714033
121,-0.0546875,-0.08579731234
122,-0.046875,-0.0735645636
123,-0.0390625,-0.0613207363
124,-0.03125,-0.04906767433
125,-0.0234375,-0.03680722294
126,-0.015625,-0.02454122852
127,-0.0078125,-0.01227153829
128,0,0
129,0.0078125,0.01227153829
130,0.015625,0.02454122852
131,0.0234375,0.03680722294
132,0.03125,0.04906767433
133,0.0390625,0.0613207363
134,0.046875,0.0735645636
135,0.0546875,0.08579731234
136,0.0625,0.09801714033
137,0.0703125,0.1102222073
138,0.078125,0.1224106752
139,0.0859375,0.1345807085
140,0.09375,0.1467304745
141,0.1015625,0.1588581433
142,0.109375,0.1709618888
143,0.1171875,0.183039888
144,0.125,0.195090322
145,0.1328125,0.2071113762
146,0.140625,0.2191012402
147,0.1484375,0.2310581083
148,0.15625,0.2429801799
149,0.1640625,0.2548656596
150,0.171875,0.2667127575
151,0.1796875,0.2785196894
152,0.1875,0.2902846773
153,0.1953125,0.3020059493
154,0.203125,0.3136817404
155,0.2109375,0.3253102922
156,0.21875,0.3368898534
157,0.2265625,0.3484186802
158,0.234375,0.3598950365
159,0.2421875,0.371317194
160,0.25,0.3826834324
161,0.2578125,0.3939920401
162,0.265625,0.405241314
163,0.2734375,0.4164295601
164,0.28125,0.4275550934
165,0.2890625,0.4386162385
166,0.296875,0.4496113297
167,0.3046875,0.460538711
168,0.3125,0.4713967368
169,0.3203125,0.4821837721
170,0.328125,0.4928981922
171,0.3359375,0.5035383837
172,0.34375,0.5141027442
173,0.3515625,0.5245896827
174,0.359375,0.5349976199
175,0.3671875,0.5453249884
176,0.375,0.555570233
177,0.3828125,0.5657318108
178,0.390625,0.5758081914
179,0.3984375,0.5857978575
180,0.40625,0.5956993045
181,0.4140625,0.6055110414
182,0.421875,0.6152315906
183,0.4296875,0.6248594881
184,0.4375,0.6343932842
185,0.4453125,0.6438315429
186,0.453125,0.653172843
187,0.4609375,0.6624157776
188,0.46875,0.6715589548
189,0.4765625,0.6806009978
190,0.484375,0.6895405447
191,0.4921875,0.6983762494
192,0.5,0.7071067812
193,0.5078125,0.7157308253
194,0.515625,0.724247083
195,0.5234375,0.7326542717
196,0.53125,0.7409511254
197,0.5390625,0.7491363945
198,0.546875,0.7572088465
199,0.5546875,0.7651672656
200,0.5625,0.7730104534
201,0.5703125,0.7807372286
202,0.578125,0.7883464276
203,0.5859375,0.7958369046
204,0.59375,0.8032075315
205,0.6015625,0.8104571983
206,0.609375,0.8175848132
207,0.6171875,0.8245893028
208,0.625,0.8314696123
209,0.6328125,0.8382247056
210,0.640625,0.8448535652
211,0.6484375,0.8513551931
212,0.65625,0.85772861
213,0.6640625,0.8639728561
214,0.671875,0.8700869911
215,0.6796875,0.8760700942
216,0.6875,0.8819212643
217,0.6953125,0.8876396204
218,0.703125,0.8932243012
219,0.7109375,0.8986744657
220,0.71875,0.9039892931
221,0.7265625,0.9091679831
222,0.734375,0.9142097557
223,0.7421875,0.9191138517
224,0.75,0.9238795325
225,0.7578125,0.9285060805
226,0.765625,0.9329927988
227,0.7734375,0.9373390119
228,0.78125,0.9415440652
229,0.7890625,0.9456073254
230,0.796875,0.9495281806
231,0.8046875,0.9533060404
232,0.8125,0.9569403357
233,0.8203125,0.9604305194
234,0.828125,0.9637760658
235,0.8359375,0.966976471
236,0.84375,0.9700312532
237,0.8515625,0.9729399522
238,0.859375,0.97570213
239,0.8671875,0.9783173707
240,0.875,0.9807852804
241,0.8828125,0.9831054874
242,0.890625,0.9852776424
243,0.8984375,0.9873014182
244,0.90625,0.98917651
245,0.9140625,0.9909026354
246,0.921875,0.9924795346
247,0.9296875,0.99390697
248,0.9375,0.9951847267
249,0.9453125,0.9963126122
250,0.953125,0.9972904567
251,0.9609375,0.9981181129
252,0.96875,0.9987954562
253,0.9765625,0.9993223846
254,0.984375,0.9996988187
255,0.9921875,0.9999247018
256,1,1
